id,name,rarity,category,str,def,dex,agi,power,avr,ratio,caption,trash
0,棒きれ,0,1,7,0,-1,1,7,70 ,0.10 ,両手に持つとカッコいい。,0
1,かばん,0,2,0,7,3,-2,8,70 ,0.11 ,たくさん入る大きなかばん。,0
2,ほうき,0,1,8,3,2,7,20,70 ,0.29 ,持ち手がささくれてきている普通のほうき。,0
3,ビー玉,0,3,-2,0,6,5,9,70 ,0.13 ,握るとひんやり気持ちいい。,0
4,焼きチョコ,0,4,10,5,13,16,44,70 ,0.63 ,焼き固めてあるから冒険中ポケットに入れても溶けない。,0
5,ベルマーク,1,3,-2,0,10,0,8,70 ,0.11 ,1.5点。溜め込んでも失くすので防具に使ってしまおう。,0
6,はがねのつるぎ,1,1,16,4,-6,-3,11,70 ,0.16 ,素人には重すぎて扱いづらい。でも叩けば痛い！,0
7,フロッピー,0,3,0,13,8,23,44,70 ,0.63 ,しろこのPCでは読み込めない。,0
8,透明したじき,1,2,1,12,2,7,22,70 ,0.31 ,透明な下敷き。何枚か重ねると魔法障壁になる。,0
9,ヨーヨー,0,1,8,1,25,-2,32,70 ,0.46 ,ぶつけて使う。,0
10,みかん,0,4,10,-2,4,10,22,70 ,0.31 ,甘みたっぷり。,0
11,食品サンプル,3,3,46,17,18,19,100,70 ,1.43 ,スパゲッティが空中で巻き取られている様子のものだ。,0
12,円卓模型,0,2,12,16,13,1,42,70 ,0.60 ,誰かの忘れ物のようだ。カードも入っているのでそのまま使える。,0
13,コーヒー豆,0,4,2,14,1,5,22,70 ,0.31 ,よく炒ってある。チョコをかけてポリポリ食べる。,0
14,サーベル,0,1,17,0,0,9,26,70 ,0.37 ,刀身が反っているカタナ。よく切れる。,0
15,どうのつるぎ,1,1,41,10,-6,-2,43,70 ,0.61 ,お前その名前ではがねのつるぎより強いってどういうことだよ！,0
16,木製パチンコ,0,1,13,4,18,2,37,70 ,0.53 ,Y字の木の棒にゴムを掛けて作った簡素なパチンコ。これでも結構痛い。,0
17,缶入りドロップス,0,4,-10,31,-5,16,32,70 ,0.46 ,ふたりともハッカを引いても戻すのでハッカだらけになっている。だんだんベタベタしてきた。,0
18,100tハンマー,2,1,130,-20,-50,-20,40,70 ,0.57 ,おもい……！けど当たれば一発で昇天させるパワー全振りハンマー。,0
19,ケーブル,0,3,-3,18,31,2,48,70 ,0.69 ,少しベタついている何かのケーブル。,0
20,ジャージ,0,2,10,14,10,10,44,70 ,0.63 ,「しろこ」と刺繍のされたちょっと高級な部屋着。丈夫で柔らかくて着たまま寝ても怒られない素晴らしい服だ！,0
21,トライデント,1,1,16,-23,67,0,60,70 ,0.86 ,先の方でみつまたに分かれた槍。先のほうが重いのでぶんぶん振り回せる。,0
22,つらら,0,1,4,-14,20,43,53,70 ,0.76 ,長い時間をかけてゴツゴツと育った本場のつらら。でもすぐ折れる。,0
23,触腕,2,1,25,25,25,25,100,70 ,1.43 ,イカの持つ自在に動かせる二本の腕。万能でゲソ！,0
24,水晶玉,0,3,-20,6,25,34,45,70 ,0.64 ,紫色のシルクでできた台座付き。特に霊的な加護は何もないが占いごっこを楽しめる。,0
25,フライパン,1,1,17,87,-25,-10,69,70 ,0.99 ,叩いた時の音波で攻撃するタイプの武器。朝だよ起きてー！カンカンカンカン！,0
26,おたま,1,1,24,-5,51,-3,67,70 ,0.96 ,フライパンと一緒に使う音波兵器。カンカンカンカンカンカンカンカン！！！！,0
27,麦わら帽子,0,2,13,26,0,11,50,70 ,0.71 ,白いリボンが一回り巻いてある。,0
28,レーヴァテイン,3,1,76,-60,50,45,111,70 ,1.59 ,炎をまとう伝説の剣。「崩壊」の呪力が込められており、対象を霊的な意味でも「切断」し、種々の加護を断ち切って直接攻撃することができる。,0
29,みかん箱,0,4,5,30,30,-10,55,70 ,0.79 ,1年に1箱、まとめて買ってゆっくり食べるみかんのダンボールだ。,0
30,グラシュ,2,2,40,-20,5,85,110,70 ,1.57 ,略さず言うとアンチグラビトンシューズ。履くと空を飛べる凄い靴だが、制御が難しく慣れないうちはすっ転ぶ。,0
